Brand,Item,Calories,Protein (g),Fitness Ratio
Burger King,King Croissan'wich with Ham And Sausage,580,27,21.48148148148148
Burger King,Ranch Dipping Sauce,140,1,140
Burger King,Crispy Chicken Jr.,450,12,37.5
Burger King,Value Menu Cheeseburger,280,15,18.666666666666668
Burger King,Original Chicken Sandwich,660,28,23.571428571428573
Burger King,Onion Rings- Value,150,1,150
Burger King,Dutch Apple Pie,340,3,113.33333333333333
Burger King,Vanilla Milk Shake,580,14,41.42857142857143
Burger King,King Croissan'wich with Sausage And Bacon,580,23,25.217391304347824
Burger King,Fully Loaded Biscuit,640,28,22.857142857142858
Burger King,Chocolate Oreo Shake,740,17,43.529411764705884
Burger King,Egg-Normous Burrito,940,38,24.736842105263158
Burger King,Grilled Chicken Sandwich,470,37,12.702702702702704
Burger King,Crispy Chicken Sandwich,670,23,29.130434782608695
Burger King,Onion Rings- Large,500,5,100
Burger King,Fat Free Milk,90,9,10
Burger King,Bacon Double Cheeseburger,420,25,16.8
Burger King,Oreo Cookie Cheesecake,350,6,58.333333333333336
Burger King,Oreo Cookie Cheesecake,350,6,58.333333333333336
Burger King,NY Ultimate Platter,900,25,36
Burger King,Ken's Ranch Dressing,260,1,260
Burger King,Ginger Spice Cookie,150,2,75
Burger King,Extra Long Cheeseburger,630,29,21.724137931034484
Burger King,Soft Serve Cone,190,5,38
Burger King,Butter Sugar Cookie,160,2,80
Burger King,Onion Rings- Medium,410,4,102.5
Burger King,Croissan'wich Egg & Cheese,340,12,28.333333333333332
Burger King,Hash Browns- Medium,500,4,125
Burger King,Hash Browns- Large,670,5,134
Burger King,Soft Serve Cup,170,5,34
Burger King,Hershey's Chocolate Sundae,280,6,46.666666666666664
Burger King,Chocolate Chip Cookies,330,3,110
Burger King,Tropical Mango Smoothie,370,5,74
Burger King,Double Whopper Sandwich,900,48,18.75
Burger King,Buttery Garlic Croutons,60,1,60
Burger King,Oatmeal Raisin Cookies,310,4,77.5
Burger King,Strawberry Banana Smoothie,310,4,77.5
Burger King,Big Fish Sandwich,510,16,31.875
Burger King,Frosted Frozen Coke,190,2,95
Burger King,Fully Loaded Croissan'wich,610,28,21.785714285714285
Burger King,Froot Loops Shake,720,16,45
Burger King,Whopper Jr. Sandwich,310,13,23.846153846153847
Burger King,Onion Rings- Small,320,3,106.66666666666667
Burger King,Hash Browns- Small,250,2,125
Burger King,Hershey's Sundae Pie,310,3,103.33333333333333
