Brand,Item,Calories,Protein (g),Fitness Ratio
Chick-fil-A,Garlic & Herb Ranch Dressing,280,1,280
Chick-fil-A,Sausage- Egg- & Cheese Muffin,490,20,24.5
Chick-fil-A,Frosted Coffee- Small,240,7,34.285714285714285
Chick-fil-A,Spicy Southwest Salad,450,34,13.235294117647058
Chick-fil-A,Superfood Side- Small,150,3,50
Chick-fil-A,Superfood Side- Large,190,4,47.5
Chick-fil-A,Grilled Nuggets- 4-Count,70,13,5.384615384615385
Chick-fil-A,Greek Yogurt Parfait with Chocolate Cookie Crumbs,210,11,19.09090909090909
Chick-fil-A,Sunflower Multigrain Bagel with Cream Cheese,290,7,41.42857142857143
Chick-fil-A,Grilled Chicken Sandwich,310,29,10.689655172413794
Chick-fil-A,Chicken Noodle Soup- Small,130,12,10.833333333333334
Chick-fil-A,Greek Yogurt Parfait with Granola,240,12,20
Chick-fil-A,Frosted Lemonade made with Diet Lemonade,240,6,40
Chick-fil-A,Chick-n-Strips- 4-Count,470,37,12.702702702702704
Chick-fil-A,Waffle Potato Fries- Large,460,6,76.66666666666667
Chick-fil-A,Strawberry Milkshake- Small,570,12,47.5
Chick-fil-A,Chocolate Chunk Cookie,330,4,82.5
Chick-fil-A,Grilled Market Salad,330,27,12.222222222222221
Chick-fil-A,Vanilla Iced Coffee- Large,200,6,33.333333333333336
Chick-fil-A,Grilled Nuggets- 8-Count,140,25,5.6
Chick-fil-A,Bacon- Egg- & Cheese Muffin,300,16,18.75
Chick-fil-A,Creamy Salsa Dressing,290,1,290
Chick-fil-A,Grilled Nuggets- 6-Count,110,19,5.7894736842105265
Chick-fil-A,Spicy Sandwich,450,30,15
Chick-fil-A,Frosted Lemonade,330,6,55
Chick-fil-A,Frosted Sunrise- Small,320,7,45.714285714285715
Chick-fil-A,Hash Brown Scramble Burrito,680,35,19.428571428571427
Chick-fil-A,Chocolate Milkshake- Large,710,15,47.333333333333336
Chick-fil-A,Vanilla Milkshake- Small,500,11,45.45454545454545
Chick-fil-A,Icedream Cone- Small,170,5,34
Chick-fil-A,Original Iced Coffee- Large,180,6,30
Chick-fil-A,Vanilla Iced Coffee- Small,160,5,32
Chick-fil-A,Grilled Nuggets- 12-Count,210,38,5.526315789473684
Chick-fil-A,Icedream Cone- Large,260,7,37.142857142857146
Chick-fil-A,Grilled Chicken Cool Wrap,360,40,9
Chick-fil-A,Avocado Lime Ranch Dressing,310,1,310
Chick-fil-A,Greek Yogurt Parfait with Chocolate Cookie Crumbs,210,11,19.09090909090909
Chick-fil-A,Hash Brown Scramble Bowl,460,31,14.838709677419354
Chick-fil-A,Frosted Sunrise- Large,390,9,43.333333333333336
Chick-fil-A,Waffle Potato Fries- Small,280,4,70
Chick-fil-A,Bacon- Egg & Cheese Biscuit,420,15,28
Chick-fil-A,Chocolate Milkshake- Small,550,12,45.833333333333336
Chick-fil-A,Cookies & Cream Milkshake- Small,520,12,43.333333333333336
Chick-fil-A,Vanilla Milkshake- Large,620,15,41.333333333333336
Chick-fil-A,Chick-fil-A Deluxe Sandwich,500,31,16.129032258064516
Chick-fil-A,Chick-fil-A Nuggets- 6-Count,190,21,9.047619047619047
Chick-fil-A,Chick-fil-A Nuggets- 8-Count,260,28,9.285714285714286
Chick-fil-A,Chick-fil-A Nuggets- 12-Count,390,41,9.512195121951219
Chick-fil-A,Chick-fil-A Nuggets- 4-Count,130,14,9.285714285714286
Chick-fil-A,Chicken Sandwich,440,28,15.714285714285714
Chick-fil-A,Chicken Biscuit,450,17,26.470588235294116
Chick-fil-A,Icedream Cup,290,8,36.25
Chick-fil-A,Cobb Salad,510,40,12.75
Chick-fil-A,Chicken Noodle Soup- Large,240,22,10.909090909090908
Chick-fil-A,Chicken- Egg & Cheese Bagel,480,27,17.77777777777778
Chick-fil-A,Grilled Chicken Club Sandwich,430,37,11.621621621621621
Chick-fil-A,Chick-n-Strips- 3-Count,350,28,12.5
Chick-fil-A,Chick-n-Minis- 4-Count,350,19,18.42105263157895
Chick-fil-A,Honey Peppercorn Salad,630,39,16.153846153846153
Chick-fil-A,Spicy Deluxe Sandwich,540,34,15.882352941176471
Chick-fil-A,Waffle Potato Fries- Medium,360,5,72
Chick-fil-A,Sausage- Egg- & Cheese Biscuit,600,20,30
Chick-fil-A,Cookies & Cream Milkshake- Large,660,16,41.25
Chick-fil-A,Simply Orange Juice,160,3,53.333333333333336
Chick-fil-A,Original Iced Coffee- Small,150,5,30
Chick-fil-A,Egg White Grill,300,25,12
Chick-fil-A,Frosted Coffee- Large,300,8,37.5
Chick-fil-A,Strawberry Milkshake- Large,720,15,48
Chick-fil-A,Side Salad,160,6,26.666666666666668
Chick-fil-A,Buttered Biscuit,300,4,75
Chick-fil-A,Hash Browns,240,2,120
Chick-fil-A,Coffee- Medium,5,1,5
Chick-fil-A,Coffee- Large,5,1,5
