Brand,Item,Calories,Protein (g),Fitness Ratio
Five Guys,Little Hamburger,480,23,20.86956522
Five Guys,BBQ Sauce,60,1,60
Five Guys,BLT,530,16,33.125
Five Guys,Bacon Cheeseburger,920,51,18.03921569
Five Guys,Little Cheeseburger,550,27,20.37037037
Five Guys,Bacon Dog,630,22,28.63636364
Five Guys,Cheeseburger,840,47,17.87234043
Five Guys,Hot Dog,550,18,30.55555556
Five Guys,Regular Fries,950,15,63.33333333
Five Guys,Bun,260,7,37.14285714
Five Guys,Bunless Cheeseburger,580,40,14.5
Five Guys,Little Fries,530,8,66.25
Five Guys,Tomatoes,10,1,10
Five Guys,Bacon Burger,780,43,18.13953488
Five Guys,Cheese Dog,620,22,28.18181818
Five Guys,Large Fries,1310,20,65.5
Five Guys,Hamburger,700,39,17.94871795
Five Guys,Burger Patty,220,16,13.75
Five Guys,Bunless Hamburger,440,32,13.75
Five Guys,Veggie Sandwich,440,16,27.5
Five Guys,Little Bacon Burger,560,27,20.74074074
Five Guys,Bacon Cheese Dog,700,26,26.92307692
Five Guys,Bacon (2 pieces),80,4,20
Five Guys,Bunless Cheese Dog,360,15,24
Five Guys,Bunless Little Cheeseburger,290,20,14.5
Five Guys,Little Bacon Cheeseburger,630,31,20.32258065
Five Guys,Grilled Cheese Sandwich,470,11,42.72727273
Five Guys,Bunless Bacon Burger,520,36,14.44444444
Five Guys,Cheese Veggie Sandwich,510,20,25.5
Five Guys,Bunless Little Hamburger,220,16,13.75
Five Guys,Bunless Bacon Dog,370,15,24.66666667
Five Guys,Cheese (1 slice),70,4,17.5
Five Guys,Bunless Bacon Cheeseburger,660,44,15
Five Guys,Bunless Little Bacon Cheeseburger,370,24,15.41666667
Five Guys,Bunless Bacon Cheese Dog,440,19,23.15789474
Five Guys,Bunless Little Bacon Burger,300,20,15
