Brand,Item,Calories,Protein (g),Fitness Ratio
Jack in the Box,Chicken Sandwich with Bacon,560,21,26.66666667
Jack in the Box,Southwest Scrambler Plate with Sausage,580,21,27.61904762
Jack in the Box,Homestyle Ranch Chicken Club,710,40,17.75
Jack in the Box,Egg Roll (3 pc.),440,16,27.5
Jack in the Box,Stuffed Jalapenos (7 pc.),510,14,36.42857143
Jack in the Box,Bacon- Egg & Cheese Biscuit,410,16,25.625
Jack in the Box,Mini Churros (5 pc.),350,4,87.5
Jack in the Box,Kids Crispy Chicken Strips,280,17,16.47058824
Jack in the Box,Iced Coffee- Original- 16 fl oz,180,3,60
Jack in the Box,Coffee- Regular- 16 fl oz,5,1,5
Jack in the Box,Coffee- Decaf- 16 fl oz,5,1,5
Jack in the Box,Halfsies (a al carte),390,5,78
Jack in the Box,Kids Seasoned Curly Fries,200,2,100
Jack in the Box,Chicken Nuggets (20 pc.),950,38,25
Jack in the Box,Jumbo Breakfast Platter with Bacon,540,23,23.47826087
Jack in the Box,Sourdough Grilled Chicken Club,580,39,14.87179487
Jack in the Box,Southwest Chicken Salad with Crispy Chicken,500,28,17.85714286
Jack in the Box,Southwest Chicken Salad with Grilled Chicken,350,35,10
Jack in the Box,Meat Lovers Breakfast Burrito without Salsa,780,39,20
Jack in the Box,Meat Lovers Breakfast Burrito with Salsa,790,39,20.25641026
Jack in the Box,Shake- Strawberry with Whipped Topping with Cherry- 16 fl oz,760,11,69.09090909
Jack in the Box,Chicken Fajita Pita made with Whole Grain with Salsa,340,23,14.7826087
Jack in the Box,Shake- Chocolate with Whipped Topping with Cherry- 24 fl oz,1120,17,65.88235294
Jack in the Box,Vanilla Shake with Whipped Topping with Cherry- 24 fl oz,980,16,61.25
Jack in the Box,Chicken Fajita Pita made with Whole Grain without Salsa,350,24,14.58333333
Jack in the Box,Shake- Chocolate with Whipped Topping with Cherry- 16 fl oz,780,12,65
Jack in the Box,Vanilla Shake with Whipped Topping with Cherry- 16 fl oz,680,11,61.81818182
Jack in the Box,Better for You- Chicken Fajita Pita made with Whole Grain without Salsa,340,23,14.7826087
Jack in the Box,Shake- Strawberry with Whipped Topping with Cherry- 24 fl oz,1090,16,68.125
Jack in the Box,Spicy Corn Sticks,60,1,60
Jack in the Box,French Fries- Small,300,3,100
Jack in the Box,Ultimate Breakfast Sandwich,520,3,173.3333333
Jack in the Box,Brunch Burger,770,37,20.81081081
Jack in the Box,Kids Mini Pancakes,140,4,35
Jack in the Box,Hash Browns,190,2,95
Jack in the Box,Jack's Deals Jumbo Jack,520,23,22.60869565
Jack in the Box,Jack's Deals Jr. Jumbo Jack,420,14,30
Jack in the Box,Jack's Deals Jumbo Jack Cheeseburger,600,28,21.42857143
Jack in the Box,Jr. Jumbo Jack Cheeseburger,460,16,28.75
Jack in the Box,Better for You- Jr. Jumbo Jack,420,14,30
Jack in the Box,Nacho Monster Taco,330,9,36.66666667
Jack in the Box,Monster Taco,270,9,30
Jack in the Box,Ranch Dressing,250,1,250
Jack in the Box,Real Cheddar Cheese,70,4,17.5
Jack in the Box,Swiss Style Cheese,40,2,20
Jack in the Box,Sausage Biscuit,430,11,39.09090909
Jack in the Box,Supreme Croissant,450,19,23.68421053
Jack in the Box,Kids Hamburger,340,14,24.28571429
Jack in the Box,Brunchfast Mini Pancakes,140,4,35
Jack in the Box,Hamburger with Cheese,320,16,20
Jack in the Box,Ultimate Cheeseburger,840,47,17.87234043
Jack in the Box,French Fries- Large,550,6,91.66666667
Jack in the Box,Grilled Breakfast Sandwich,620,36,17.22222222
Jack in the Box,Kids Cheeseburger,380,16,23.75
Jack in the Box,French Fries- Medium,430,5,86
Jack in the Box,Provolone Cheese,60,4,15
Jack in the Box,Sour Cream,60,1,60
Jack in the Box,Sourdough Breakfast Melt,410,20,20.5
Jack in the Box,Kids Chicken Nuggets,240,9,26.66666667
Jack in the Box,Taco- Regular,170,6,28.33333333
Jack in the Box,Creamy Bacon Mayo,120,1,120
Jack in the Box,Spicy Sriracha Burger,680,33,20.60606061
Jack in the Box,Loaded Breakfast Sandwich,710,36,19.72222222
Jack in the Box,Jack's Deals Jr. Bacon Cheeseburger,480,19,25.26315789
Jack in the Box,Jack's Deals Tacos- Regular,340,12,28.33333333
Jack in the Box,Jack's Deals Chicken Nuggets (20 pc.),950,38,25
Jack in the Box,Jack's Deals Chicken Sandwich,540,25,21.6
Jack in the Box,Jack's Deals Chicken Sandwich with Bacon,540,25,21.6
Jack in the Box,Halfsies (in Munchie Meal),450,5,90
Jack in the Box,Bacon Breakfast Jack,380,17,22.35294118
Jack in the Box,Sausage Breakfast Jack,500,19,26.31578947
Jack in the Box,Jumbo Jack,520,23,22.60869565
Jack in the Box,Breakfast Jack,350,16,21.875
Jack in the Box,Double Jack,830,46,18.04347826
Jack in the Box,Sourdough Jack,700,35,20
Jack in the Box,Jr. Jumbo Jack,420,14,30
Jack in the Box,Biscuit,260,5,52
Jack in the Box,Hamburger,340,14,24.28571429
Jack in the Box,Cheeseburger,380,16,23.75
Jack in the Box,Jack's Spicy Chicken,550,26,21.15384615
Jack in the Box,Classic Buttery Jack,820,37,22.16216216
Jack in the Box,Kids Breakfast Jack,350,16,21.875
Jack in the Box,Jumbo Jack Cheeseburger,600,28,21.42857143
Jack in the Box,Real Swiss Cheese,70,5,14
Jack in the Box,Milk- Low Fat,110,9,12.22222222
Jack in the Box,Chicken Sandwich,510,15,34
Jack in the Box,Chicken Teriyaki Bowl,690,27,25.55555556
Jack in the Box,Grilled Chicken Salad,250,30,8.333333333
Jack in the Box,Fish Sandwich,410,16,25.625
