Brand,Item,Calories,Protein (g),Fitness Ratio
KFC,Nashville Hot Kentucky Grilled Chicken Thigh,180,17,10.588235294117647
KFC,Nashville Hot Kentucky Grilled Chicken Breast,260,38,6.842105263157895
KFC,Nashville Hot Spicy Crispy Chicken Thigh,390,13,30
KFC,Nashville Hot Extra Crispy Chicken Drumstick,250,11,22.727272727272727
KFC,Biscuit,180,4,45
KFC,Corn on the Cob,70,2,35
KFC,Country Fried Steak without Peppered White Gravy,360,13,27.692307692307693
KFC,Mashed Potatoes,110,2,55
KFC,Corn on the Cob (Family),280,9,31.11111111111111
KFC,Extra Crispy Chicken Whole Wing,170,10,17
KFC,Oreo Cookies and Creme Pie,270,3,90
KFC,Milk 1%,90,7,12.857142857142858
KFC,Spicy Crispy Chicken Drumstick,130,9,14.444444444444445
KFC,Kentucky Grilled Chicken Thigh,150,17,8.823529411764707
KFC,Cinnabon Dessert Biscuits,290,4,72.5
KFC,Chicken Littles - Nashville Hot,340,14,24.285714285714285
KFC,Nashville Hot Kentucky Grilled Chicken Drumstick,100,11,9.090909090909092
KFC,Nashville Hot Spicy Crispy Chicken Drumstick,190,9,21.11111111111111
KFC,Coleslaw (Family),640,4,160
KFC,Mashed Potatoes With Gravy (Family),590,12,49.166666666666664
KFC,Potato Wedges (Family),1120,16,70
KFC,KFC Livers,230,17,13.529411764705882
KFC,KFC Gizzards,300,20,15
KFC,KFC Famous Bowl,740,26,28.46153846153846
KFC,KFC Cornbread Muffin,210,3,70
KFC,KFC Creamy Parmesan Caesar Dressing,260,2,130
KFC,KFC Famous Bowl - Snack Size,270,11,24.545454545454547
KFC,Crispy Colonel's Sandwich - Buffalo,500,24,20.833333333333332
KFC,Kentucky Fried Wings - Buffalo,100,5,20
KFC,Nashville Hot Spicy Crispy Chicken Breast,540,31,17.419354838709676
KFC,Nashville Hot Extra Crispy Chicken Breast,770,35,22
KFC,Macaroni & Cheese (Family),540,18,30
KFC,Chicken Littles,300,14,21.428571428571427
KFC,Country Fried Steak with Peppered White Gravy,390,13,30
KFC,Sweet Kernel Corn,70,2,35
KFC,Potato Wedges,270,4,67.5
KFC,Spicy Crispy Chicken Thigh,270,13,20.76923076923077
KFC,Kentucky Grilled Chicken Whole Wing,70,9,7.777777777777778
KFC,Extra Crispy Chicken Breast,530,35,15.142857142857142
KFC,Hidden Valley The Original Ranch Fat Free Dressing,35,1,35
KFC,Original Recipe Chicken Breast,390,39,10
KFC,Chicken Littles - Buffalo,310,14,22.142857142857142
KFC,Crispy Colonel's Sandwich - Honey BBQ,510,24,21.25
KFC,Parmesan Garlic Croutons,60,2,30
KFC,Milk 2%,170,12,14.166666666666666
KFC,Original Recipe Chicken Whole Wing,130,10,13
KFC,Kentucky Grilled Chicken Breast,210,38,5.526315789473684
KFC,Chicken Littles - Honey BBQ,320,14,22.857142857142858
KFC,Kentucky Fried Wings - Nashville Hot,130,5,26
KFC,Kentucky Fried Wings - Unsauced,80,5,16
KFC,Macaroni Salad,140,1,140
KFC,Potato Salad (Family),1200,8,150
KFC,Nashville Hot Spicy Crispy Chicken Whole Wing,180,8,22.5
KFC,Extra Crispy Tender (each),260,19,13.68421052631579
KFC,Green Beans (Family),80,4,20
KFC,Mashed Potatoes (Family),460,9,51.111111111111114
KFC,Caesar Side Salad,40,3,13.333333333333334
KFC,BBQ Baked Beans,190,11,17.272727272727273
KFC,Crispy Twister,630,28,22.5
KFC,Chicken Pot Pie,720,26,27.692307692307693
KFC,Green Beans,25,1,25
KFC,Honey BBQ Sandwich,350,24,14.583333333333334
KFC,Apple Turnover,230,2,115
KFC,Cafe Valley Mini Lemon Cake,300,3,100
KFC,Extra Crispy Chicken Thigh,330,22,15
KFC,Kentucky Grilled Chicken Drumstick,80,11,7.2727272727272725
KFC,Chocolate Milk 1%,150,7,21.428571428571427
KFC,Cafe Valley Chocolate Chip Cake (1 Slice),300,4,75
KFC,Popcorn Nuggets - Large,620,27,22.962962962962962
KFC,Original Recipe Chicken Thigh,280,19,14.736842105263158
