Brand,Item,Calories,Protein (g),Fitness Ratio
McDonald's,Denali Big Mac,850,50,17
McDonald's,Big Mac Bacon,610,30,20.333333333333332
McDonald's,Chocolate Shake- Large,840,19,44.21052631578947
McDonald's,Hot Caramel Sundae,380,9,42.22222222222222
McDonald's,Iced Mocha- Medium,350,9,38.888888888888886
McDonald's,Latte- Small,140,7,20
McDonald's,Sausage Burrito,300,13,23.076923076923077
McDonald's,Sausage McGriddles,430,11,39.09090909090909
McDonald's,Side Salad,15,1,15
McDonald's,Strawberry Sundae,320,8,40
McDonald's,Sweet Tea- Large,160,1,160
McDonald's,Vanilla Shake- Small,490,11,44.54545454545455
McDonald's,Quarter Pounder Deluxe,640,31,20.64516129032258
McDonald's,Bacon Cheddar McChicken,550,24,22.916666666666668
McDonald's,McGriddles French Toast,650,31,20.967741935483872
McDonald's,Classic Chicken Sandwich,510,25,20.4
McDonald's,M&M McFlurry,750,13,57.69230769230769
McDonald's,Happy Meal Hamburger,250,13,19.23076923076923
McDonald's,Twist Cone,160,4,40
McDonald's,Cheese Curds,440,24,18.333333333333332
McDonald's,Hamburger (New York),250,13,19.23076923076923
McDonald's,McChicken Deluxe,510,20,25.5
McDonald's,Chorizo Burrito,310,16,19.375
McDonald's,Chicken McGriddles,390,14,27.857142857142858
McDonald's,Quarter Pounder,430,26,16.53846153846154
McDonald's,Popcorn- Small,230,3,76.66666666666667
McDonald's,Homestyle Burger,440,26,16.923076923076923
McDonald's,Bagel Plain,250,9,27.77777777777778
McDonald's,Chocolate Cone- Large,330,9,36.666666666666664
McDonald's,Raspberry Pastry,110,2,55
McDonald's,Fried Guava Pie,210,2,105
McDonald's,Iced Strawberry Lemonade- Small,120,1,120
McDonald's,Bacon- Egg & Cheese Biscuit,450,18,25
McDonald's,Big Breakfast with Hotcakes,1350,35,38.57142857142857
McDonald's,Chicken McNuggets (10 piece),440,24,18.333333333333332
McDonald's,Quarter Pounder,430,26,16.53846153846154
McDonald's,Popcorn- Small,230,3,76.66666666666667
McDonald's,Homestyle Burger,440,26,16.923076923076923
McDonald's,Bagel Plain,250,9,27.77777777777778
McDonald's,Chocolate Cone- Large,330,9,36.666666666666664
McDonald's,Raspberry Pastry,110,2,55
McDonald's,Fried Guava Pie,210,2,105
McDonald's,Big Mac,540,25,21.6
McDonald's,Mocha Caramel- Large,460,14,32.857142857142854
McDonald's,Chocolate Chip Cookie,170,2,85
McDonald's,Daily Double,480,23,20.869565217391305
McDonald's,Hot Chocolate- Medium,450,14,32.142857142857146
McDonald's,Hot Fudge Sundae,380,10,38
McDonald's,Kiddie Cone,45,1,45
McDonald's,French Fries- Large,470,6,78.33333333333333
McDonald's,Mocha- Large,500,15,33.333333333333336
