Brand,Item,Calories,Protein (g),Fitness Ratio
Panda Express,Teriyaki Chicken,340,41,8.292682927
Panda Express,Super Greens,90,6,15
Panda Express,Chicken Egg Roll,200,6,33.33333333
Panda Express,Asian Chicken,340,41,8.292682927
Panda Express,Chow Fun,410,9,45.55555556
Panda Express,Fried Rice,520,11,47.27272727
Panda Express,Eggplant Tofu,340,7,48.57142857
Panda Express,Orange Chicken,490,25,19.6
Panda Express,Beijing Beef,470,13,36.15384615
Panda Express,Chow Mein,510,13,39.23076923
Panda Express,Chicken Potsticker,160,6,26.66666667
Panda Express,Broccoli Beef,150,9,16.66666667
Panda Express,Sichuan Hot Chicken,400,19,21.05263158
Panda Express,Chocolate Chunk Cookie,160,2,80
Panda Express,Golden Treasure Shrimp,360,14,25.71428571
Panda Express,Vegetable Spring Roll,190,3,63.33333333
Panda Express,Sweetfire Chicken Breast,380,13,29.23076923
Panda Express,Sichuan Hot Chicken,400,19,21.05263158
Panda Express,Chocolate Chunk Cookie,160,2,80
Panda Express,Golden Treasure Shrimp,360,14,25.71428571
Panda Express,Vegetable Spring Roll,190,3,63.33333333
Panda Express,Honey Walnut Shrimp,360,13,27.69230769
Panda Express,Kung Pao Chicken,290,16,18.125
Panda Express,White Steamed Rice,380,7,54.28571429
Panda Express,Shanghai Angus Steak,310,19,16.31578947
Panda Express,Super Greens- Entree,45,3,15
Panda Express,Black Pepper Angus Steak- Entree,180,19,9.473684211
Panda Express,Lemon Green Tea- Small,10,1,10
Panda Express,Lemon Green Tea- Large,15,3,5
Panda Express,Lemon Green Tea- Medium,10,2,5
Panda Express,Black Pepper Angus Steak- Entree,180,19,9.473684211
Panda Express,Lemon Green Tea- Small,10,1,10
