Brand,Item,Calories,Protein (g),Fitness Ratio
Sonic,Supersonic Bacon Double Cheeseburger with Mayo,1030,58,17.75862069
Sonic,Supersonic Double Cheeseburger with Ketchup,870,52,16.73076923
Sonic,Supersonic Double Cheeseburger with Mustard,860,52,16.53846154
Sonic,Iced Coffee with Chocolate Add-In- Rt 44,510,6,85
Sonic,Iced Coffee with Chocolate Add-In- Large,290,3,96.66666667
Sonic,Iced Coffee with Praline Pecan Add-In- Large,220,3,73.33333333
Sonic,Bacon- Egg & Cheese Breakfast Slinger,330,18,18.33333333
Sonic,Brioche Breakfast Sandwich with Sausage,660,28,23.57142857
Sonic,Double Stuf Oreo Waffle Cone,590,7,84.28571429
Sonic,Signature Cheese Sauce,130,2,65
Sonic,Veggie Burger with Mustard- Ketchup & Mayo,550,14,39.28571429
Sonic,Kids All Beef Regular Hot Dog,360,12,30
Sonic,Fresh Banana Shake- Large,1250,19,65.78947368
Sonic,Chicken Club Toaster Sandwich,770,32,24.0625
Sonic,Hot Fudge Real Ice Cream Sundae,520,7,74.28571429
Sonic,Minute Maid Orange Juice- Small,140,2,70
Sonic,Strawberry Cheesecake Shake- Mini,490,6,81.66666667
Sonic,Strawberry Cheesecake Shake- Small,720,10,72
Sonic,Kids Grilled Cheese Sandwich,430,14,30.71428571
Sonic,Caramel Shake- Large,1360,17,80
Sonic,Chocolate Shake- Medium,900,11,81.81818182
Sonic,Hot Fudge Shake- Small,710,10,71
Sonic,Strawberry Cheesecake Shake- Large,1370,19,72.10526316
Sonic,Ultimate Meat & Cheese Breakfast Burrito,840,30,28
Sonic,Veggie Burger with Mustard,430,14,30.71428571
Sonic,Iced Coffee with Praline Pecan Add-In- Small,80,1,80
Sonic,Jumbo Popcorn Chicken- Small,330,16,20.625
Sonic,Spicy Jumbo Popcorn Chicken- Small,330,16,20.625
Sonic,Asian Sweet Chili Boneless Wings- 12 Piece,930,60,15.5
Sonic,Honey BBQ Boneless Wings- 24 Piece,1860,117,15.8974359
Sonic,Add Crispy Bacon,80,6,13.33333333
Sonic,Chocolate Shake- Large,1330,17,78.23529412
Sonic,Hot Fudge Shake- Mini,480,6,80
Sonic,Strawberry Shake- Medium,830,11,75.45454545
Sonic,Vanilla Shake- Mini,420,6,70
Sonic,Chili Cheese Tots- Small,350,7,50
Sonic,Handmade Onion Rings- Large,800,11,72.72727273
Sonic,Tots with Cheese- Small,310,6,51.66666667
Sonic,Country Fried Steak Sandwich,700,16,43.75
Sonic,Hot Fudge Topping- Rt 44,400,3,133.3333333
Sonic,Biscuit Sandwich with Sausage,720,26,27.69230769
Sonic,Breakfast Burrito with Bacon,470,25,18.8
Sonic,Breakfast Burrito with Ham,440,27,16.2962963
Sonic,French Toast Sticks without Syrup,480,8,60
Sonic,Jr. Deluxe Cheeseburger,440,18,24.44444444
Sonic,Jumbo Popcorn Chicken- Large,750,36,20.83333333
Sonic,Classic Grilled Chicken Sandwich,490,31,15.80645161
Sonic,Chili Cheese Coney,470,18,26.11111111
Sonic,Tree Top Apple Sauce,45,1,45
Sonic,Oreo Chocolate Shake- Medium,1090,12,90.83333333
Sonic,Iced Coffee with Chocolate Add-In- Rt 44,510,6,85
Sonic,Iced Coffee with Chocolate Add-In- Large,290,3,96.66666667
Sonic,Iced Coffee with Praline Pecan Add-In- Large,220,3,73.33333333
Sonic,Bacon- Egg & Cheese Breakfast Slinger,330,18,18.33333333
Sonic,Brioche Breakfast Sandwich with Sausage,660,28,23.57142857
Sonic,Double Stuf Oreo Waffle Cone,590,7,84.28571429
Sonic,Signature Cheese Sauce,130,2,65
Sonic,Veggie Burger with Mustard- Ketchup & Mayo,550,14,39.28571429
Sonic,Kids All Beef Regular Hot Dog,360,12,30
Sonic,Fresh Banana Shake- Large,1250,19,65.78947368
Sonic,Chicken Club Toaster Sandwich,770,32,24.0625
Sonic,Hot Fudge Real Ice Cream Sundae,520,7,74.28571429
Sonic,Minute Maid Orange Juice- Small,140,2,70
Sonic,Strawberry Cheesecake Shake- Mini,490,6,81.66666667
Sonic,Strawberry Cheesecake Shake- Small,720,10,72
Sonic,Kids Grilled Cheese Sandwich,430,14,30.71428571
Sonic,Caramel Shake- Large,1360,17,80
Sonic,Chocolate Shake- Medium,900,11,81.81818182
Sonic,Hot Fudge Shake- Small,710,10,71
Sonic,Strawberry Shake- Mini,430,5,86
Sonic,Vanilla Shake- Small,650,10,65
Sonic,Chili Cheese Fries- Large,710,18,39.44444444
Sonic,Ched 'R' Peppers- Large,880,17,51.76470588
Sonic,Kids Corn Dog,230,6,38.33333333
Sonic,Grilled Cheese Sandwich,430,14,30.71428571
Sonic,Pickle-O's- Medium,530,5,106
Sonic,Kids Jr. Burger,330,15,22
Sonic,Pickle-O's- Small,300,3,100
Sonic,Oreo Chocolate Shake- Small,800,10,80
Sonic,Pickle-O's- Large,720,8,90
Sonic,Ched 'R' Bites- Large,770,27,28.51851852
Sonic,Asian Sweet Chili Boneless Wings- 24 Piece,1860,119,15.6302521
Sonic,Original Iced Coffee (No Coffee Add-In)- Large,170,3,56.66666667
Sonic,Buffalo Boneless Wings- 6 Piece,440,29,15.17241379
Sonic,Fish Sandwich,560,19,29.47368421
Sonic,Hot Fudge Topping- Small,100,1,100
Sonic,Bagel Breakfast Sandwich with Bacon,660,33,20
Sonic,Breakfast Burrito with Sausage,500,23,21.73913043
Sonic,Jumbo Popcorn Chicken- Medium,490,23,21.30434783
Sonic,Footlong Quarter Pound Coney,790,31,25.48387097
Sonic,Strawberry Real Ice Cream Sundae,440,6,73.33333333
Sonic,Sonic Cheeseburger with Mayo,680,30,22.66666667
Sonic,Sonic Burger with Ketchup,540,27,20
Sonic,Sonic Blast Made with Butterfinger Pieces- Large,1420,22,64.54545455
Sonic,Sonic Blast Made with Snickers Bars- Mini,460,8,57.5
Sonic,Sonic Cheeseburger with Mustard,590,31,19.03225806
Sonic,Sonic Blast Made with Butterfinger Pieces- Mini,460,7,65.71428571
Sonic,Sonic Blast Made with M&M's- Minis Chocolate Candies- Medium,1060,15,70.66666667
Sonic,Sonic Blast Made with Oreo Cookie Pieces- Small,650,10,65
Sonic,Sonic Blast Made with Chocolate Chip Cookie Dough- Small,750,9,83.33333333
Sonic,Sonic Blast Made with Chocolate Chip Cookie Dough- Large,1470,20,73.5
Sonic,Sonic Cheeseburger with Ketchup,600,30,20
Sonic,Sonic Bacon Cheeseburger with Mayo,770,36,21.38888889
Sonic,Sonic Blast Made with Chocolate Chip Cookie Dough- Mini,490,6,81.66666667
Sonic,Sonic Blast Made with Chocolate Chip Cookie Dough- Medium,990,13,76.15384615
Sonic,Sonic Blast Made with Reese's Peanut Butter Cups- Medium,990,18,55
Sonic,Sonic Blast Made with M&M's- Minis Chocolate Candies- Small,800,11,72.72727273
