Brand,Item,Calories,Protein (g),Fitness Ratio
Taco Bell,Modelo Negra (12 oz),180,2,90
Taco Bell,Shock Top Belgian White (Draft),220,3,73.33333333333333
Taco Bell,Newcastle Brown Ale (Draft),170,1,170
Taco Bell,Heineken Light (12 oz),100,1,100
Taco Bell,Michelob Original Lager (Draft),210,3,70
Taco Bell,Pabst Blue Ribbon Original (Draft),190,2,95
Taco Bell,Black Bean Crunchwrap Supreme,510,13,39.23076923076923
Taco Bell,Grande Scrambler Burrito - Bacon,650,21,30.952380952380953
Taco Bell,Grilled Breakfast Burrito - Bacon,350,13,26.923076923076923
Taco Bell,Grilled Breakfast Burrito - Sausage,340,11,30.90909090909091
Taco Bell,Cinnabon Delights (2 Pack),160,2,80
Taco Bell,Tortilla Chips- Reaper Ranch,150,2,75
Taco Bell,Lowfat Milk - CA (Regional),100,9,11.11111111111111
Taco Bell,Cheesy Gordita Crunch Supreme,520,21,24.761904761904763
Taco Bell,Blue Point Big City Bells Pilsner (12 oz),160,2,80
Taco Bell,Steak and Cheddar Nachos Box,1170,32,36.5625
Taco Bell,Patriot Ale (12 oz),170,1,170
Taco Bell,Coors (Coors Banquet) (Draft),200,1,200
Taco Bell,Beer - General (12 oz),150,2,75
Taco Bell,Blue Moon Belgian White (Draft),220,3,73.33333333333333
Taco Bell,Motorworks Pulp Fiction IPA (Draft),300,5,60
Taco Bell,Newcastle Brown Ale (12 oz),130,1,130
Taco Bell,Corona Light (12 oz),100,1,100
Taco Bell,Black Bean Quesarito (V),630,19,33.1578947368421
Taco Bell,Nacho Party Pack - Steak,1990,58,34.310344827586206
Taco Bell,Buffalo Chicken Nacho Fries Burrito,510,16,31.875
Taco Bell,Pintos 'n Cheese (V),170,9,18.88888888888889
Taco Bell,Nacho Party Pack - Beef,2060,47,43.829787234042556
Taco Bell,Shredded Chicken Quesadilla Melt,310,13,23.846153846153847
Taco Bell,Black Bean Crunchwrap Supreme (V),510,13,39.23076923076923
Taco Bell,Power Menu Bowl - Chicken,480,26,18.46153846153846
Taco Bell,Fresco Burrito Supreme - Steak,330,16,20.625
Taco Bell,Chips and Nacho Cheese Sauce,220,2,110
Taco Bell,Cheesy Bean & Rice Burrito,410,10,41
Taco Bell,Breakfast Soft Taco - Egg & Cheese,170,7,24.285714285714285
Taco Bell,Budweiser (Draft),190,2,95
Taco Bell,Quesarito - Beef,650,21,30.952380952380953
Taco Bell,Soft Taco Supreme - Beef,210,10,21
Taco Bell,Breakfast Soft Taco - Bacon,230,12,19.166666666666668
Taco Bell,Fiesta Taco Salad - Beef,740,25,29.6
Taco Bell,Fresco Soft Taco - Steak,150,10,15
Taco Bell,Grilled Steak Soft Taco,200,12,16.666666666666668
Taco Bell,Fresco Soft Taco - Beef,160,8,20
Taco Bell,Fresco Soft Taco - Shredded Chicken,150,9,16.666666666666668
