Brand,Item,Calories,Protein (g),Fitness Ratio
Wendy's,Baconator,950,59,16.10169491525424
Wendy's,Crispy Chicken Sandwich,330,14,23.571428571428573
Wendy's,Grilled Chicken Wrap,270,20,13.5
Wendy's,Dave's Single,570,30,19
Wendy's,Vanilla Frosty- Medium,450,12,37.5
Wendy's,Bacon Breakfast Bowl,510,19,26.842105263157894
Wendy's,Biggie Breakfast Sandwich,610,27,22.59259259259259
Wendy's,Jr. Cheeseburger Deluxe,340,16,21.25
Wendy's,Dave's Double,810,49,16.53061224489796
Wendy's,Spicy Chicken Sandwich,510,29,17.586206896551722
Wendy's,Kids Cheeseburger,280,15,18.666666666666668
Wendy's,Sausage Biscuit,480,12,40
Wendy's,1% White Milk,90,7,12.857142857142858
Wendy's,Double Stack,390,25,15.6
Wendy's,Vanilla Frosty- Small,340,9,37.77777777777778
Wendy's,Dave's Triple,1090,71,15.352112676056338
Wendy's,Homestyle Chicken Sandwich,510,28,18.214285714285715
Wendy's,Plain Baked Potato,270,7,38.57142857142857
Wendy's,Vanilla Frosty- Large,570,15,38
Wendy's,S'Awesome Sauce,120,1,120
Wendy's,Crispy Chicken BLT,420,20,21
Wendy's,Vanilla Frosty- Junior,190,5,38
Wendy's,Baconator Fries,490,14,35
Wendy's,1% Chocolate Milk,150,7,21.428571428571427
Wendy's,Caesar Side Salad,240,8,30
Wendy's,Chili Cheese Fries,500,16,31.25
Wendy's,Kids Cheeseburger,280,15,18.666666666666668
Wendy's,Sausage Biscuit,480,12,40
Wendy's,1% White Milk,90,7,12.857142857142858
Wendy's,Natural-Cut Fries- Small,320,5,64
Wendy's,Natural-Cut Fries- Junior,230,3,76.66666666666667
Wendy's,Bacon Cheese Baked Potato,440,17,25.88235294117647
Wendy's,Classic Chocolate Frosty- Small,350,10,35
Wendy's,Caramel Iced Coffee- Small,160,2,80
Wendy's,Natural-Cut Fries- Large,530,7,75.71428571428571
Wendy's,Caramel Iced Coffee- Medium,240,3,80
Wendy's,Spicy Asiago Ranch Club,670,38,17.63157894736842
Wendy's,Sausage and Egg Burrito,360,17,21.176470588235293
Wendy's,Vanilla Iced Coffee- Medium,250,3,83.33333333333333
Wendy's,Natural-Cut Fries- Medium,420,6,70
Wendy's,4 Piece Chicken Nuggets,170,9,18.88888888888889
Wendy's,Classic Chocolate Frosty- Large,590,17,34.705882352941174
Wendy's,Sausage and Gravy Biscuit,490,8,61.25
Wendy's,Mocha Iced Coffee- Small,170,2,85
Wendy's,Mocha Iced Coffee- Medium,210,3,70
Wendy's,Classic Chocolate Frosty- Medium,470,13,36.15384615384615
Wendy's,Chili & Cheese Baked Potato,460,19,24.210526315789473
Wendy's,Gravy and Sausage Bowl,450,12,37.5
Wendy's,Honey Butter Chicken Biscuit,500,19,26.31578947368421
