Brand,Item,Calories,Protein (g),Fitness Ratio
Whataburger,Onion Rings- Medium,300,4,75
Whataburger,Taquito with Bacon- Egg & Cheese,400,20,20
Whataburger,Texas Toast (1 Slice),110,3,36.66666667
Whataburger,Whatachick'n Sandwich,530,33,16.06060606
Whataburger,Breakfast on a Bun with Bacon,350,18,19.44444444
Whataburger,Chop House Cheddar Burger,1110,60,18.5
Whataburger,Apple Slices,140,1,140
Whataburger,Avocado Bacon Burger Whatameal,1650,42,39.28571429
Whataburger,Biscuit Sandwich with Sausage,630,25,25.2
Whataburger,Chicken Fajita Taco,340,29,11.72413793
Whataburger,Chocolate Malt- 20 oz,570,10,57
Whataburger,Chocolate Shake- 32 oz,860,16,53.75
Whataburger,Green Chile Double Jr. Whatameal,1370,33,41.51515152
Whataburger,Grilled Chicken Melt Whatameal,1220,38,32.10526316
Whataburger,Pancake Platter with Bacon,670,13,51.53846154
Whataburger,Strawberry Shake- 32 oz,870,15,58
Whataburger,Taquito with Cheese Whatameal,540,19,28.42105263
Whataburger,Taquito with Potato- Egg & Cheese Whatameal,650,19,34.21052632
Whataburger,Vanilla Shake- 32 oz,800,16,50
Whataburger,Whatachick'n Bites- 9 Piece Whatameal,1580,53,29.81132075
Whataburger,Whatachick'n Bites- 6 Piece Whatameal with Lower Calorie Sides,600,33,18.18181818
Whataburger,Chicken Fajita Taco Whatameal with Lower Calorie Sides,380,29,13.10344828
Whataburger,Whatachick'n Bites- 9 Piece Whatameal with Lower Calorie Sides,790,48,16.45833333
Whataburger,Extra Large American Cheese Slice,180,10,18
Whataburger,Justaburger Kid's Meal with Lower Calorie Sides,520,22,23.63636364
Whataburger,Salted Caramel Shake- 32 oz,850,15,56.66666667
Whataburger,Green Chile Double Jr. Whatameal with Lower Calorie Sides,1010,54,18.7037037
Whataburger,Grilled Cheese Kid's Meal with Lower Calorie Sides,730,24,30.41666667
Whataburger,Monterey Melt,1090,54,20.18518519
Whataburger,Jalapeno Cheddar Biscuit,330,8,41.25
Whataburger,Jalapeno Cheddar Biscuit with Sausage,540,19,28.42105263
Whataburger,Jalapeno Cheddar Biscuit Sandwich with Bacon,510,22,23.18181818
Whataburger,Whatachick'n Bites- 4 Piece,320,20,16
Whataburger,Sweet & Spicy Bacon Burger Whatameal,1910,65,29.38461538
Whataburger,Butter & Garlic Croutons Package,60,1,60
Whataburger,Whataburger,590,29,20.34482759
Whataburger,Jalapeno & Cheese Whataburger,680,34,20
Whataburger,Double Meat Whataburger Whatameal,1660,52,31.92307692
Whataburger,Whataburger Patty Melt- Single,640,28,22.85714286
Whataburger,Whataburger Jr.,310,14,22.14285714
Whataburger,Whataburger Whatameal,1420,34,41.76470588
Whataburger,Whataburger Patty Melt- Single Whatameal,1470,33,44.54545455
Whataburger,Double Meat Whataburger,830,47,17.65957447
Whataburger,Triple Meat Whataburger Whatameal,1900,70,27.14285714
Whataburger,Whataburger Patty Melt Whatameal,1770,54,32.77777778
Whataburger,Whataburger Patty Melt,940,49,19.18367347
Whataburger,Bacon & Cheese Whataburger Whatameal,1580,44,35.90909091
Whataburger,Triple Meat Whataburger,1080,65,16.61538462
Whataburger,Whataburger Jr. with Bacon & Cheese,400,21,19.04761905
Whataburger,Jalapeno & Cheese Whataburger Whatameal with Lower Calorie Sides,720,34,21.17647059
Whataburger,Bacon & Cheese Whataburger,750,39,19.23076923
Whataburger,Double Meat Whataburger Jr.,420,23,18.26086957
Whataburger,Jalapeno & Cheese Whataburger Whatameal,1510,39,38.71794872
Whataburger,Whataburger Jr. Whatameal,850,18,47.22222222
Whataburger,Whataburger Whatameal with Lower Calorie Sides,630,29,21.72413793
Whataburger,Double Meat Whataburger Jr. with Cheese,470,26,18.07692308
Whataburger,Whataburger Jr. Whatameal with Lower Calorie Sides,350,15,23.33333333
Whataburger,Double Meat Whataburger Jr. Whatameal,960,26,36.92307692
Whataburger,Bacon & Cheese Whataburger Whatameal with Lower Calorie Sides,780,39,20
Whataburger,Double Meat Whataburger Jr. Whatameal with Lower Calorie Sides,460,23,20
Whataburger,Whataburger Patty Melt Whatameal with Lower Calorie Sides,980,49,20
Whataburger,Whataburger Patty Melt- Single Whatameal with Lower Calorie Sides,680,28,24.28571429
