Brand,Item,Calories,Protein (g),Fitness Ratio
Wingstop,Buffalo Ranch Fries- Large,800,14,57.14285714
Wingstop,Mango Habanero Boneless Tenders,270,20,13.5
Wingstop,Atomic Boneless Wings,170,9,18.88888889
Wingstop,Seasoned Fries- Small,390,7,55.71428571
Wingstop,Hawaiian (Kens) Jumbo Wings,160,15,10.66666667
Wingstop,Cheese Fries- Regular,470,8,58.75
Wingstop,Brownie,430,6,71.66666667
Wingstop,Spicy Korean Q Boneless Tenders,270,20,13.5
Wingstop,Louisiana Rub Boneless Wings,200,9,22.22222222
Wingstop,Garlic Parmesan Boneless Tenders,370,20,18.5
Wingstop,Hawaiian (Kens) Boneless Wings,180,9,20
Wingstop,Hawaiian (Renfros) Boneless Tenders,250,20,12.5
Wingstop,Cajun Boneless Tenders,230,20,11.5
Wingstop,Original Hot Jumbo Wings,140,15,9.333333333
Wingstop,Original Hot Boneless Wings,170,9,18.88888889
Wingstop,Mango Habanero Jumbo Wings,160,15,10.66666667
Wingstop,Buffalo Ranch Fries- Regular,450,8,56.25
Wingstop,Spicy Korean Q Boneless Wings,190,10,19
Wingstop,Yeast Rolls,140,5,28
Wingstop,Cajun Boneless Wings,170,9,18.88888889
Wingstop,Mild Boneless Wings,220,9,24.44444444
Wingstop,Ranch,310,1,310
